"""","平成20年(2008)","平成21年(2009)","平成22年(2010)","平成23年(2011)","平成24年(2012)","平成25年(2013)","平成25年(2013)_瀬戸内海区","平成25年(2013)_太平洋南区"
"海面漁業・養殖業(百万円)","16918.0","14053.0","14871.0","12919.0","12731.0","11915.0","x","x"
"","","","","","","","",""
"  海面漁業(百万円)","11855.0","10044.0","9768.0","9492.0","9760.0","8674.0","3690.0","4984.0"
"","","","","","","","",""
"くろまぐろ(百万円)","174.0","103.0","80.0","105.0","125.0","286.0","51.0","235.0"
"みなみまぐろ(百万円)","0.0","0.0","0.0","0.0","-","-","-","-"
"びんなが(百万円)","215.0","333.0","245.0","241.0","243.0","160.0","12.0","148.0"
"めばち(百万円)","197.0","136.0","59.0","x","116.0","64.0","5.0","59.0"
"きはだ(百万円)","220.0","242.0","175.0","286.0","242.0","212.0","28.0","184.0"
"その他のまぐろ類(百万円)","2.0","0.0","1.0","x","0.0","0.0","-","0.0"
"","","","","","","","",""
"まかじき(百万円)","12.0","18.0","15.0","15.0","19.0","16.0","1.0","15.0"
"めかじき(百万円)","20.0","17.0","7.0","10.0","8.0","7.0","2.0","5.0"
"くろかじき類(百万円)","15.0","24.0","16.0","12.0","7.0","11.0","1.0","10.0"
"その他のかじき類(百万円)","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0"
"","","","","","","","",""
"かつお(百万円)","1185.0","1276.0","1130.0","604.0","960.0","704.0","17.0","687.0"
"そうだがつお類(百万円)","46.0","14.0","35.0","15.0","39.0","42.0","10.0","31.0"
"","","","","","","","",""
"さめ類(百万円)","20.0","16.0","15.0","20.0","15.0","16.0","16.0","0.0"
"このしろ(百万円)","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-"
"","","","","","","","",""
"まいわし(百万円)","146.0","95.0","151.0","160.0","146.0","77.0","20.0","57.0"
"うるめいわし(百万円)","161.0","135.0","105.0","93.0","100.0","126.0","1.0","126.0"
"かたくちいわし(百万円)","9.0","17.0","11.0","13.0","18.0","14.0","5.0","9.0"
"しらす(百万円)","860.0","558.0","1014.0","846.0","1544.0","869.0","674.0","195.0"
"","","","","","","","",""
"まあじ(百万円)","783.0","841.0","695.0","500.0","594.0","449.0","182.0","267.0"
"むろあじ類(百万円)","731.0","535.0","497.0","609.0","477.0","374.0","134.0","239.0"
"","","","","","","","",""
"さば類(百万円)","809.0","549.0","722.0","647.0","449.0","521.0","80.0","441.0"
"さんま(百万円)","35.0","21.0","18.0","29.0","26.0","16.0","-","16.0"
"ぶり類(百万円)","381.0","334.0","448.0","500.0","370.0","342.0","63.0","279.0"
"ひらめ(百万円)","85.0","73.0","61.0","76.0","57.0","53.0","18.0","35.0"
"かれい類(百万円)","160.0","128.0","133.0","105.0","101.0","114.0","113.0","1.0"
"にぎす類(百万円)","11.0","10.0","10.0","4.0","7.0","-","-","-"
"あなご類(百万円)","14.0","15.0","11.0","8.0","6.0","5.0","5.0","0.0"
"たちうお(百万円)","1141.0","1055.0","756.0","788.0","769.0","776.0","722.0","53.0"
"","","","","","","","",""
"まだい(百万円)","355.0","311.0","326.0","324.0","325.0","251.0","228.0","23.0"
"ちだい・きだい(百万円)","52.0","43.0","41.0","49.0","59.0","54.0","48.0","6.0"
"くろだい・へだい(百万円)","15.0","20.0","18.0","24.0","21.0","15.0","13.0","2.0"
